Name,Issue Date,Description
Holiday Escapes - Issue 1,1/31/19,"Exclusive packages for January 2019. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
Holiday Escapes - Issue 2,7/31/19,"Exclusive packages for July 2019. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
Holiday Escapes - Issue 3,1/31/20,"Exclusive packages for January 2020. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
Holiday Escapes - Issue 4,7/31/20,"Exclusive packages for July 2020. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
Holiday Escapes - Issue 5,1/31/21,"Exclusive packages for January 2021. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
Holiday Escapes - Issue 6,7/31/21,"Exclusive packages for July 2021. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
Holiday Escapes - Issue 7,1/31/22,"Exclusive packages for January 2022. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
Holiday Escapes - Issue 8,7/31/22,"Exclusive packages for July 2022. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
Holiday Escapes - Issue 9,1/31/23,"Exclusive packages for January 2023. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
Holiday Escapes - Issue 10,7/31/23,"Exclusive packages for July 2023. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
Holiday Escapes - Issue 11,1/31/24,"Exclusive packages for January 2024. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
Holiday Escapes - Issue 12,7/31/24,"Exclusive packages for July 2024. Explore end-to-end holiday experiences including flights, hotels, tours, and more."
