Name,Address List 1,Address List 2,Address List 3,City,Post Code
Science Hall,123 Science Ave,Block A,Campus North,University City,UC101
Engineering Building,456 Engineering Dr,Block B,Campus South,University City,UC102
Library,789 Library Ln,Block C,Campus East,University City,UC103
Student Center,101 Student St,Block D,Campus West,University City,UC104
Mathematics Building,202 Math Blvd,Block E,Campus North,University City,UC105
Humanities Hall,303 Humanities Rd,Block F,Campus South,University City,UC106
Business School,404 Business Way,Block G,Campus East,University City,UC107
Art and Design Building,505 Art Dr,Block H,Campus West,University City,UC108
Health Sciences Center,606 Health Ln,Block I,Campus North,University City,UC109
Computer Science Building,707 Computer Ave,Block J,Campus South,University City,UC110
